,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
718,20:45,Ларнака,,N4 508Nordwind,D,ПрилетелВыдача багажа: лента 6-7
719,Совершил посадку в 20:33,Совершил посадку в 20:33,,N4 508Nordwind,D,ПрилетелВыдача багажа: лента 6-7
720,20:50,Магнитогорск,,"FV 6394, SU 6394Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
721,Совершил посадку в 20:14,Совершил посадку в 20:14,,"FV 6394, SU 6394Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
722,20:50,Санкт-Петербург,,SU 25Аэрофлот,B,ПрилетелВыдача багажа: лента 3
723,Совершил посадку в 20:30,Совершил посадку в 20:30,,SU 25Аэрофлот,B,ПрилетелВыдача багажа: лента 3
724,20:50,Дубай,,KQ 3504Kenya Airways,D,ПрилетелВыдача багажа: лента 9
725,Совершил посадку в 21:15,Совершил посадку в 21:15,,KQ 3504Kenya Airways,D,ПрилетелВыдача багажа: лента 9
726,20:50,Дубай,,SU 521Аэрофлот,D,ПрилетелВыдача багажа: лента 9
727,Совершил посадку в 21:15,Совершил посадку в 21:15,,SU 521Аэрофлот,D,ПрилетелВыдача багажа: лента 9
728,20:50,Дубай,,SV 6029Saudi Arabian Airlines,D,ПрилетелВыдача багажа: лента 9
729,Совершил посадку в 21:15,Совершил посадку в 21:15,,SV 6029Saudi Arabian Airlines,D,ПрилетелВыдача багажа: лента 9
730,20:55,Тюмень,,"FV 6364, SU 6364Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
731,Совершил посадку в 20:17,Совершил посадку в 20:17,,"FV 6364, SU 6364Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
732,20:55,Череповец,,D2 153Северсталь,D,ПрилетелВыдача багажа: лента 4
733,Совершил посадку в 20:48,Совершил посадку в 20:48,,D2 153Северсталь,D,ПрилетелВыдача багажа: лента 4
734,21:00,Сочи,,SU 1177Аэрофлот,B,ПрилетелВыдача багажа: лента 1
735,Совершил посадку в 20:23,Совершил посадку в 20:23,,SU 1177Аэрофлот,B,ПрилетелВыдача багажа: лента 1
736,21:00,Ларнака,,EO 508Pegas Fly,D,ПрилетелВыдача багажа: лента 6-7
737,Совершил посадку в 20:33,Совершил посадку в 20:33,,EO 508Pegas Fly,D,ПрилетелВыдача багажа: лента 6-7
738,21:00,Нальчик,,SU 1065Аэрофлот,B,ПрилетелВыдача багажа: лента 6
739,Совершил посадку в 20:36,Совершил посадку в 20:36,,SU 1065Аэрофлот,B,ПрилетелВыдача багажа: лента 6
740,21:00,Белград,,JU 654Air Serbia,D,ПрилетелВыдача багажа: лента 8
741,Совершил посадку в 20:51,Совершил посадку в 20:51,,JU 654Air Serbia,D,ПрилетелВыдача багажа: лента 8
742,21:05,Ставрополь,,SU 1369Аэрофлот,B,ПрилетелВыдача багажа: лента 2
743,Совершил посадку в 20:40,Совершил посадку в 20:40,,SU 1369Аэрофлот,B,ПрилетелВыдача багажа: лента 2
744,21:05,Саратов,,"FV 6492, SU 6492Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
745,Совершил посадку в 20:43,Совершил посадку в 20:43,,"FV 6492, SU 6492Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
746,21:05,Мурманск,,SU 1325Аэрофлот,B,ПрилетелВыдача багажа: лента 6
747,Совершил посадку в 20:58,Совершил посадку в 20:58,,SU 1325Аэрофлот,B,ПрилетелВыдача багажа: лента 6
748,21:10,Оренбург,,SU 1249Аэрофлот,B,ПрилетелВыдача багажа: лента 4
